Username,Computer,Lat,Lng,Dynamo Version,Revit Version,IP,City,Country,Packages Installed,Graph Name,Graph Version,Graph Packages,Execution Time,Time Saved,Datetime
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Room Tag_Center on Room Location Point (Version 2.0.2).dyn,1.6.5,"SteamNodes",336,7109160,1552617962792
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View_Delete All Not on Sheet (Version 2.0.2).dyn,1.8.4,"SteamNodes,DYNAMO UNFOLD",630,6343026,1550756613663
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View_Delete All Not on Sheet (Version 2.0.2).dyn,1.8.4,"SteamNodes,DYNAMO UNFOLD",439,5617136,1554348100245
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Parameter_Simple Mapping (Category Restricted) (Version 2.0.2).dyn,0.4.2,"BIMORPH NODES,FIREFLY FOR DYNAMO",986,2927221,1551895230598
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Parameter_List All (If COBie Parameters are ticked) (Version 2.0.2).dyn,0.8.6,"Rhythm,MESH TOOLKIT",505,3011345,1550824767712
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Filters_Delete Unused (Version 2.0.2).dyn,0.7.1,"Lunchbox for Dynamo,ARCHI-LAB",641,3283094,1550655626863
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Workset_Batch Create 3D Views for each Workset (Version 2.0.2).dyn,1.6.4,"BIMORPH NODES,DYNAMO UNFOLD",650,5019470,1552105778274
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Project Parameters_Delete by Name (Version 2.0.2).dyn,1.0.6,"Lunchbox for Dynamo",486,6374632,1553179050202
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View_Delete All Not on Sheet (Version 2.0.2).dyn,1.8.4,"SteamNodes,DYNAMO UNFOLD",391,1973748,1550249027426
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Filters_Delete Unused (Version 2.0.2).dyn,0.7.1,"Lunchbox for Dynamo,ARCHI-LAB",451,5646525,1551088996726
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Legend_Add to Multiple Sheets (Version 2.0.2).dyn,0.1.8,"Clockwork for Dynamo",613,5006744,1553530957365
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Rooms_Renumber by Level _ Model Line (Version 2.0.2).dyn,0.4.3,"MESH TOOLKIT,Bumblebee",482,3040946,1550830668092
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Parameter_Simple Mapping (Category Restricted) (Version 2.0.2).dyn,0.4.2,"BIMORPH NODES,FIREFLY FOR DYNAMO",417,4178596,1551691202058
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Filter_Add to View (Version 2.0.2).dyn,0.9.6,"SteamNodes,DYNASTRATOR",577,2939238,1550258662526
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Rooms_Renumber by Level _ Model Line (Version 2.0.2).dyn,0.4.3,"MESH TOOLKIT,Bumblebee",876,3835832,1553859449884
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Floor_Batch Create from Room Footprints (Version 2.0.2).dyn,1.6.6,"SteamNodes",992,3714676,1553965104479
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Template_View Template Name to View Group Parameter (Version 2.0.2).dyn,0.2.6,"ARCHI-LAB,MESH TOOLKIT",135,1339414,1553333156436
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Filters_Delete Unused (Version 2.0.2).dyn,0.7.1,"Lunchbox for Dynamo,ARCHI-LAB",293,2670975,1551245523082
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Workset_Batch Create 3D Views for each Workset (Version 2.0.2).dyn,1.6.4,"BIMORPH NODES,DYNAMO UNFOLD",170,2186222,1549464094614
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Ceiling_Find Room Name (Version 2.0.2).dyn,1.2.9,"SteamNodes",783,5699939,1549224096061
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Floor_Batch Create from Room Footprints (Version 2.0.2).dyn,1.6.6,"SteamNodes",339,3930471,1553002341375
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Filter_Create (Version 2.0.2).dyn,1.5.3,"BIMORPH NODES,Lunchbox for Dynamo",804,4172974,1554453877817
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Room Tag_Center on Room Location Point (Version 2.0.2).dyn,1.6.5,"SteamNodes",181,2300270,1553697563536
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Templates_Delete Unused (Version 2.0.2).dyn,0.0.4,"SteamNodes",396,4318842,1549237255875
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Elevation_Change Elevation Crop Line Weight (Version 2.0.2).dyn,0.9.1,"Lunchbox for Dynamo",767,1019124,1552121707269
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",Element_Creator _ Last Editor (Version 2.0.2).dyn,1.8.7,"DYNAMO UNFOLD,Bumblebee",650,7124026,1551422123330
EnglandH116,YELDEH,30.276990,-92.660530,2.0.1,2017.1.3,54.207.0.0,Sao Paulo,Brazil,"Mathis,Coleman,Gill",View Filter_Add to View (Version 2.0.2).dyn,0.9.6,"SteamNodes,DYNASTRATOR",281,5756072,1551132325707
FerrellN502,ENIDAN,-86.186480,-122.964190,1.0.0,2017.9.4,54.193.0.0,San Francisco,United States,"Vinson,Cantu,Stuart",Room Tag_Center on Room Location Point (Version 2.0.2).dyn,1.6.5,"SteamNodes",720,2773795,1549309474378
FerrellN502,ENIDAN,-86.186480,-122.964190,1.0.0,2017.9.4,54.193.0.0,San Francisco,United States,"Vinson,Cantu,Stuart",Revision_Add to Sheet (Version 2.0.2).dyn,0.5.4,"SteamNodes",184,4170949,1552807476197
